Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
res = sendRequest(req),,,,25-08-2024 14:31:27,25-08-2024 14:31:27,0.017s,PASSED
"verifyResponseStatusCode(res, expected.intValue(), CONTINUE_ON_FAILURE)",,,,25-08-2024 14:31:27,25-08-2024 14:31:27,0.003s,PASSED
if (expected.intValue() != 403),,,,25-08-2024 14:31:27,25-08-2024 14:31:27,0.042s,PASSED
,,,,,,,
Test Cases/TC_Create Note_ErrorFields,,,,25-08-2024 14:31:27,25-08-2024 14:31:27,0.078s,PASSED
"authorizationHeader = new com.kms.katalon.core.testobject.TestObjectProperty(Authorization, com.kms.katalon.core.testobject.ConditionType.EQUALS, (Bearer  + internal.GlobalVariable.token))",,,,25-08-2024 14:31:27,25-08-2024 14:31:27,0.001s,PASSED
"req = findTestObject(""API_Create Note"", [""title"":title, ""content"":content, ""userIds"":userIds])",,,,25-08-2024 14:31:27,25-08-2024 14:31:27,0.005s,PASSED
getHttpHeaderProperties().removeIf({ -> ... }),,,,25-08-2024 14:31:27,25-08-2024 14:31:27,0.001s,PASSED
getHttpHeaderProperties().add(authorizationHeader),,,,25-08-2024 14:31:27,25-08-2024 14:31:27,0.001s,PASSED
res = sendRequest(req),,,,25-08-2024 14:31:27,25-08-2024 14:31:27,0.013s,PASSED
"verifyResponseStatusCode(res, expected.intValue(), CONTINUE_ON_FAILURE)",,,,25-08-2024 14:31:27,25-08-2024 14:31:27,0.002s,PASSED
if (expected.intValue() != 403),,,,25-08-2024 14:31:27,25-08-2024 14:31:27,0.035s,PASSED
,,,,,,,
Test Cases/TC_Create Note_ErrorFields,,,,25-08-2024 14:31:27,25-08-2024 14:31:27,0.065s,PASSED
"authorizationHeader = new com.kms.katalon.core.testobject.TestObjectProperty(Authorization, com.kms.katalon.core.testobject.ConditionType.EQUALS, (Bearer  + internal.GlobalVariable.token))",,,,25-08-2024 14:31:27,25-08-2024 14:31:27,0.001s,PASSED
"req = findTestObject(""API_Create Note"", [""title"":title, ""content"":content, ""userIds"":userIds])",,,,25-08-2024 14:31:27,25-08-2024 14:31:27,0.004s,PASSED
getHttpHeaderProperties().removeIf({ -> ... }),,,,25-08-2024 14:31:27,25-08-2024 14:31:27,0.001s,PASSED
getHttpHeaderProperties().add(authorizationHeader),,,,25-08-2024 14:31:27,25-08-2024 14:31:27,0.000s,PASSED
res = sendRequest(req),,,,25-08-2024 14:31:27,25-08-2024 14:31:27,0.013s,PASSED
"verifyResponseStatusCode(res, expected.intValue(), CONTINUE_ON_FAILURE)",,,,25-08-2024 14:31:27,25-08-2024 14:31:27,0.002s,PASSED
if (expected.intValue() != 403),,,,25-08-2024 14:31:27,25-08-2024 14:31:27,0.027s,PASSED
,,,,,,,
Test Cases/TC_Create Note_ErrorFields,,,,25-08-2024 14:31:27,25-08-2024 14:31:28,0.042s,PASSED
"authorizationHeader = new com.kms.katalon.core.testobject.TestObjectProperty(Authorization, com.kms.katalon.core.testobject.ConditionType.EQUALS, (Bearer  + internal.GlobalVariable.token))",,,,25-08-2024 14:31:27,25-08-2024 14:31:27,0.001s,PASSED
"req = findTestObject(""API_Create Note"", [""title"":title, ""content"":content, ""userIds"":userIds])",,,,25-08-2024 14:31:27,25-08-2024 14:31:27,0.004s,PASSED
getHttpHeaderProperties().removeIf({ -> ... }),,,,25-08-2024 14:31:27,25-08-2024 14:31:27,0.000s,PASSED
getHttpHeaderProperties().add(authorizationHeader),,,,25-08-2024 14:31:27,25-08-2024 14:31:27,0.001s,PASSED
res = sendRequest(req),,,,25-08-2024 14:31:27,25-08-2024 14:31:28,0.017s,PASSED
"verifyResponseStatusCode(res, expected.intValue(), CONTINUE_ON_FAILURE)",,,,25-08-2024 14:31:28,25-08-2024 14:31:28,0.001s,PASSED
if (expected.intValue() != 403),,,,25-08-2024 14:31:28,25-08-2024 14:31:28,0.001s,PASSED
,,,,,,,
Test Cases/TC_Create Note_ErrorFields,,,,25-08-2024 14:31:28,25-08-2024 14:31:28,0.052s,PASSED
"authorizationHeader = new com.kms.katalon.core.testobject.TestObjectProperty(Authorization, com.kms.katalon.core.testobject.ConditionType.EQUALS, (Bearer  + internal.GlobalVariable.token))",,,,25-08-2024 14:31:28,25-08-2024 14:31:28,0.001s,PASSED
"req = findTestObject(""API_Create Note"", [""title"":title, ""content"":content, ""userIds"":userIds])",,,,25-08-2024 14:31:28,25-08-2024 14:31:28,0.006s,PASSED
getHttpHeaderProperties().removeIf({ -> ... }),,,,25-08-2024 14:31:28,25-08-2024 14:31:28,0.000s,PASSED
getHttpHeaderProperties().add(authorizationHeader),,,,25-08-2024 14:31:28,25-08-2024 14:31:28,0.001s,PASSED
res = sendRequest(req),,,,25-08-2024 14:31:28,25-08-2024 14:31:28,0.022s,PASSED
"verifyResponseStatusCode(res, expected.intValue(), CONTINUE_ON_FAILURE)",,,,25-08-2024 14:31:28,25-08-2024 14:31:28,0.002s,PASSED
if (expected.intValue() != 403),,,,25-08-2024 14:31:28,25-08-2024 14:31:28,0.000s,PASSED
,,,,,,,
Test Cases/TC_Create Note_BoundaryFields,,,,25-08-2024 14:31:28,25-08-2024 14:31:28,0.412s,PASSED
"authorizationHeader = new com.kms.katalon.core.testobject.TestObjectProperty(Authorization, com.kms.katalon.core.testobject.ConditionType.EQUALS, (Bearer  + internal.GlobalVariable.token))",,,,25-08-2024 14:31:28,25-08-2024 14:31:28,0.003s,PASSED
"if (isTitleTest == ""true"")",,,,25-08-2024 14:31:28,25-08-2024 14:31:28,0.005s,PASSED
else,,,,25-08-2024 14:31:28,25-08-2024 14:31:28,0.004s,PASSED
return (a * 65000),,,,25-08-2024 14:31:28,25-08-2024 14:31:28,0.007s,PASSED
"req = findTestObject(""API_Create Note"", [""title"":title, ""content"":content, ""userIds"":userIds])",,,,25-08-2024 14:31:28,25-08-2024 14:31:28,0.007s,PASSED
getHttpHeaderProperties().removeIf({ -> ... }),,,,25-08-2024 14:31:28,25-08-2024 14:31:28,0.005s,PASSED
getHttpHeaderProperties().add(authorizationHeader),,,,25-08-2024 14:31:28,25-08-2024 14:31:28,0.002s,PASSED
res = sendRequest(req),,,,25-08-2024 14:31:28,25-08-2024 14:31:28,0.032s,PASSED
"verifyResponseStatusCode(res, expected.intValue(), CONTINUE_ON_FAILURE)",,,,25-08-2024 14:31:28,25-08-2024 14:31:28,0.004s,PASSED
"verifyElementPropertyValue(res, ""title"", title, CONTINUE_ON_FAILURE)",,,,25-08-2024 14:31:28,25-08-2024 14:31:28,0.038s,PASSED
"verifyElementPropertyValue(res, ""content"", content, CONTINUE_ON_FAILURE)",,,,25-08-2024 14:31:28,25-08-2024 14:31:28,0.026s,PASSED
"users = getElementPropertyValue(res, ""users"", CONTINUE_ON_FAILURE)",,,,25-08-2024 14:31:28,25-08-2024 14:31:28,0.023s,PASSED
users = users.sort({ java.lang.Object user -> ... }),,,,25-08-2024 14:31:28,25-08-2024 14:31:28,0.002s,PASSED
userIdList =  }).sort(),,,,25-08-2024 14:31:28,25-08-2024 14:31:28,0.003s,PASSED
"for ([i = 0, i < userIdList.size(), (i++)])",,,,25-08-2024 14:31:28,25-08-2024 14:31:28,0.006s,PASSED
,,,,,,,
Test Cases/TC_Create Note_BoundaryFields,,,,25-08-2024 14:31:28,25-08-2024 14:31:28,0.154s,PASSED
"authorizationHeader = new com.kms.katalon.core.testobject.TestObjectProperty(Authorization, com.kms.katalon.core.testobject.ConditionType.EQUALS, (Bearer  + internal.GlobalVariable.token))",,,,25-08-2024 14:31:28,25-08-2024 14:31:28,0.002s,PASSED
