Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
"authorizationHeader = new com.kms.katalon.core.testobject.TestObjectProperty(Authorization, com.kms.katalon.core.testobject.ConditionType.EQUALS, (Bearer  + internal.GlobalVariable.token))",,,,25-08-2024 13:35:03,25-08-2024 13:35:03,0.000s,PASSED
newId = generateUUIDv4(),,,,25-08-2024 13:35:03,25-08-2024 13:35:03,0.000s,PASSED
return java.util.UUID.randomUUID().toString(),,,,25-08-2024 13:35:03,25-08-2024 13:35:03,0.000s,PASSED
print(newId),,,,25-08-2024 13:35:03,25-08-2024 13:35:03,0.000s,PASSED
"req = findTestObject(""API_Send File"", [""senderId"":myId, ""groupId"":groupId, ""file"":filePath, ""id"":newId])",,,,25-08-2024 13:35:03,25-08-2024 13:35:03,0.004s,PASSED
getHttpHeaderProperties().removeIf({ -> ... }),,,,25-08-2024 13:35:03,25-08-2024 13:35:03,0.000s,PASSED
getHttpHeaderProperties().add(authorizationHeader),,,,25-08-2024 13:35:03,25-08-2024 13:35:03,0.000s,PASSED
"groupId = getVariables().get(""groupId"")",,,,25-08-2024 13:35:03,25-08-2024 13:35:03,0.000s,PASSED
"println(""The groupId in the request body is: "" + groupId)",,,,25-08-2024 13:35:03,25-08-2024 13:35:03,0.000s,PASSED
res = sendRequest(req),,,,25-08-2024 13:35:03,25-08-2024 13:35:03,0.064s,PASSED
"verifyResponseStatusCode(res, expected.intValue(), CONTINUE_ON_FAILURE)",,,,25-08-2024 13:35:03,25-08-2024 13:35:03,0.002s,PASSED
responseText = res.getResponseText(),,,,25-08-2024 13:35:03,25-08-2024 13:35:03,0.001s,PASSED
if (responseText != null && !(trim().isEmpty())),,,,25-08-2024 13:35:03,25-08-2024 13:35:03,0.000s,PASSED
,,,,,,,
Test Cases/TC_Send File,,,,25-08-2024 13:35:03,25-08-2024 13:35:04,0.132s,PASSED
projectPath = getProjectDir(),,,,25-08-2024 13:35:04,25-08-2024 13:35:04,0.000s,PASSED
"filePath = projectPath + ""\"" + file",,,,25-08-2024 13:35:04,25-08-2024 13:35:04,0.000s,PASSED
"authorizationHeader = new com.kms.katalon.core.testobject.TestObjectProperty(Authorization, com.kms.katalon.core.testobject.ConditionType.EQUALS, (Bearer  + internal.GlobalVariable.token))",,,,25-08-2024 13:35:04,25-08-2024 13:35:04,0.001s,PASSED
newId = generateUUIDv4(),,,,25-08-2024 13:35:04,25-08-2024 13:35:04,0.000s,PASSED
return java.util.UUID.randomUUID().toString(),,,,25-08-2024 13:35:04,25-08-2024 13:35:04,0.000s,PASSED
print(newId),,,,25-08-2024 13:35:04,25-08-2024 13:35:04,0.001s,PASSED
"req = findTestObject(""API_Send File"", [""senderId"":myId, ""groupId"":groupId, ""file"":filePath, ""id"":newId])",,,,25-08-2024 13:35:04,25-08-2024 13:35:04,0.010s,PASSED
getHttpHeaderProperties().removeIf({ -> ... }),,,,25-08-2024 13:35:04,25-08-2024 13:35:04,0.000s,PASSED
